0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
17,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
20,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,7,Face,4,Pattern,BlackSquare,action,GoToFaceFour
8,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
9,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
10,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
11,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
12,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
13,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
14,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Block,3,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
20,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,4,Pattern,BlackSquare,action,GoToFaceFour
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
13,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
14,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
20,Block,1,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
13,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
15,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,4,Pattern,BlackSquare,action,GoToFaceFour
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
13,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
14,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Block,1,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
13,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
15,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
13,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
15,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
16,Block,2,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
17,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
18,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
19,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
13,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
14,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,4,Pattern,BlackSquare,action,GoToFaceFour
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 340)
20,Block,1,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,4,Pattern,BlackSquare,action,GoToFaceFour
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Block,4,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
13,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 0)
15,Block,3,Face,4,Pattern,BlackSquare,action,GoToFaceFour
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
13,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
14,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Block,3,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
18,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
19,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
20,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Block,4,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
13,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Block,3,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
15,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
16,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 170)
17,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 170)
20,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
8,Block,6,Face,4,Pattern,BlackSquare,action,GoToFaceFour
9,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
10,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
11,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
12,Block,4,Face,4,Pattern,BlackSquare,action,GoToFaceFour
13,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
14,Puzzle,puzzle_c,action,LookAtPuzzle,point,(170, 340)
15,Block,3,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Block,2,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
18,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
19,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
20,Block,1,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,7,Face,4,Pattern,BlackSquare,action,GoToFaceFour
8,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
9,Block,6,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
10,Block,5,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
11,Block,5,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
12,Block,4,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
13,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 340)
14,Block,3,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
15,Block,3,Face,1,Pattern,BlackBottomRightCornerSquare,action,RotateRight
16,Block,2,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
17,Puzzle,puzzle_c,action,LookAtPuzzle,point,(340, 0)
18,Block,2,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
19,Block,1,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
20,Block,1,Face,4,Pattern,BlackSquare,action,GoToFaceFour
0,puzzle_name,puzzle_c,face_search,beeline_search,puzzle_piece_search,skip_unknown_search,memory_loss_factor,0.1,memory_loss_counter_limit,3,glance_factor,1.0
1,Puzzle,puzzle_c,action,LookAtPuzzle,point,(0, 0)
2,Block,9,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
3,Block,9,Face,2,Pattern,WhiteSquare,action,GoToFaceTwo
4,Block,8,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
5,Block,8,Face,4,Pattern,BlackSquare,action,GoToFaceFour
6,Block,7,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
7,Block,6,Face,1,Pattern,BlackTopRightCornerSquare,action,PickUpFromBank
